,trade_date
532,20211108
533,20211105
534,20211104
535,20211103
536,20211102
537,20211101
538,20211029
539,20211028
540,20211027
541,20211026
542,20211025
543,20211022
544,20211021
545,20211020
546,20211019
547,20211018
548,20211015
549,20211014
550,20211013
551,20211012
552,20211011
553,20211008
554,20210930
555,20210929
556,20210928
557,20210927
558,20210924
559,20210923
560,20210922
561,20210917
562,20210916
563,20210915
564,20210914
565,20210913
566,20210910
567,20210909
568,20210908
569,20210907
570,20210906
571,20210903
572,20210902
573,20210901
574,20210831
575,20210830
576,20210827
577,20210826
578,20210825
579,20210824
580,20210823
581,20210820
582,20210819
583,20210818
584,20210817
585,20210816
586,20210813
587,20210812
588,20210811
589,20210810
590,20210809
591,20210806
592,20210805
593,20210804
594,20210803
595,20210802
596,20210730
597,20210729
598,20210728
599,20210727
600,20210726
601,20210723
602,20210722
603,20210721
604,20210720
605,20210719
606,20210716
607,20210715
608,20210714
609,20210713
610,20210712
611,20210709
612,20210708
613,20210707
614,20210706
615,20210705
616,20210702
617,20210701
618,20210630
619,20210629
620,20210628
621,20210625
622,20210624
623,20210623
624,20210622
625,20210621
626,20210618
627,20210617
628,20210616
629,20210615
630,20210611
631,20210610
632,20210609
633,20210608
634,20210607
635,20210604
636,20210603
637,20210602
638,20210601
639,20210531
640,20210528
641,20210527
642,20210526
643,20210525
644,20210524
645,20210521
646,20210520
647,20210519
648,20210518
649,20210517
650,20210514
651,20210513
652,20210512
653,20210511
654,20210510
655,20210507
656,20210506
657,20210430
658,20210429
659,20210428
660,20210427
661,20210426
662,20210423
663,20210422
664,20210421
665,20210420
666,20210419
667,20210416
668,20210415
669,20210414
670,20210413
671,20210412
672,20210409
673,20210408
674,20210407
675,20210406
676,20210402
677,20210401
678,20210331
679,20210330
680,20210329
681,20210326
682,20210325
683,20210324
684,20210323
685,20210322
686,20210319
687,20210318
688,20210317
689,20210316
690,20210315
691,20210312
692,20210311
693,20210310
694,20210309
695,20210308
696,20210305
697,20210304
698,20210303
699,20210302
700,20210301
701,20210226
702,20210225
703,20210224
704,20210223
705,20210222
706,20210219
707,20210218
708,20210210
709,20210209
710,20210208
711,20210205
712,20210204
713,20210203
714,20210202
715,20210201
716,20210129
717,20210128
718,20210127
719,20210126
720,20210125
721,20210122
722,20210121
723,20210120
724,20210119
725,20210118
726,20210115
727,20210114
728,20210113
729,20210112
730,20210111
731,20210108
732,20210107
733,20210106
734,20210105
735,20210104
736,20201231
737,20201230
738,20201229
739,20201228
740,20201225
741,20201224
742,20201223
743,20201222
744,20201221
745,20201218
746,20201217
747,20201216
748,20201215
749,20201214
750,20201211
751,20201210
752,20201209
753,20201208
754,20201207
755,20201204
756,20201203
757,20201202
758,20201201
759,20201130
760,20201127
761,20201126
762,20201125
763,20201124
764,20201123
765,20201120
766,20201119
767,20201118
768,20201117
769,20201116
770,20201113
771,20201112
772,20201111
773,20201110
774,20201109
775,20201106
776,20201105
777,20201104
778,20201103
779,20201102
780,20201030
781,20201029
782,20201028
783,20201027
784,20201026
785,20201023
786,20201022
787,20201021
788,20201020
789,20201019
790,20201016
791,20201015
792,20201014
793,20201013
794,20201012
795,20201009
796,20200930
797,20200929
798,20200928
799,20200925
800,20200924
801,20200923
802,20200922
803,20200921
804,20200918
805,20200917
806,20200916
807,20200915
808,20200914
809,20200911
810,20200910
811,20200909
812,20200908
813,20200907
814,20200904
815,20200903
816,20200902
817,20200901
818,20200831
819,20200828
820,20200827
821,20200826
822,20200825
823,20200824
824,20200821
825,20200820
826,20200819
827,20200818
828,20200817
829,20200814
830,20200813
831,20200812
832,20200811
833,20200810
834,20200807
835,20200806
836,20200805
837,20200804
838,20200803
839,20200731
840,20200730
841,20200729
842,20200728
843,20200727
844,20200724
845,20200723
846,20200722
847,20200721
848,20200720
849,20200717
850,20200716
851,20200715
852,20200714
853,20200713
854,20200710
855,20200709
856,20200708
857,20200707
858,20200706
859,20200703
860,20200702
861,20200701
862,20200630
863,20200629
864,20200624
865,20200623
866,20200622
867,20200619
868,20200618
869,20200617
870,20200616
871,20200615
872,20200612
873,20200611
874,20200610
875,20200609
876,20200608
877,20200605
878,20200604
879,20200603
880,20200602
881,20200601
882,20200529
883,20200528
884,20200527
885,20200526
886,20200525
887,20200522
888,20200521
889,20200520
890,20200519
891,20200518
892,20200515
893,20200514
894,20200513
895,20200512
896,20200511
897,20200508
898,20200507
899,20200506
900,20200430
901,20200429
902,20200428
903,20200427
904,20200424
905,20200423
906,20200422
907,20200421
908,20200420
909,20200417
910,20200416
911,20200415
912,20200414
913,20200413
914,20200410
915,20200409
916,20200408
917,20200407
918,20200403
919,20200402
920,20200401
921,20200331
922,20200330
923,20200327
924,20200326
925,20200325
926,20200324
927,20200323
928,20200320
929,20200319
930,20200318
931,20200317
932,20200316
933,20200313
934,20200312
935,20200311
936,20200310
937,20200309
938,20200306
939,20200305
940,20200304
941,20200303
942,20200302
943,20200228
944,20200227
945,20200226
946,20200225
947,20200224
948,20200221
949,20200220
950,20200219
951,20200218
952,20200217
953,20200214
954,20200213
955,20200212
956,20200211
957,20200210
958,20200207
959,20200206
960,20200205
961,20200204
962,20200203
963,20200123
964,20200122
965,20200121
966,20200120
967,20200117
968,20200116
969,20200115
970,20200114
971,20200113
972,20200110
973,20200109
974,20200108
975,20200107
976,20200106
977,20200103
978,20200102
979,20191231
980,20191230
981,20191227
982,20191226
983,20191225
984,20191224
985,20191223
986,20191220
987,20191219
988,20191218
989,20191217
990,20191216
991,20191213
992,20191212
993,20191211
994,20191210
995,20191209
996,20191206
997,20191205
998,20191204
999,20191203
1000,20191202
1001,20191129
1002,20191128
1003,20191127
1004,20191126
1005,20191125
1006,20191122
1007,20191121
1008,20191120
1009,20191119
1010,20191118
1011,20191115
1012,20191114
1013,20191113
1014,20191112
1015,20191111
1016,20191108
1017,20191107
1018,20191106
1019,20191105
1020,20191104
1021,20191101
1022,20191031
1023,20191030
1024,20191029
1025,20191028
1026,20191025
1027,20191024
1028,20191023
1029,20191022
1030,20191021
1031,20191018
1032,20191017
1033,20191016
1034,20191015
1035,20191014
1036,20191011
1037,20191010
1038,20191009
1039,20191008
1040,20190930
1041,20190927
1042,20190926
1043,20190925
1044,20190924
1045,20190923
1046,20190920
1047,20190919
1048,20190918
1049,20190917
1050,20190916
1051,20190912
1052,20190911
1053,20190910
1054,20190909
1055,20190906
1056,20190905
1057,20190904
1058,20190903
1059,20190902
1060,20190830
1061,20190829
1062,20190828
1063,20190827
1064,20190826
1065,20190823
1066,20190822
1067,20190821
1068,20190820
1069,20190819
1070,20190816
1071,20190815
1072,20190814
1073,20190813
1074,20190812
1075,20190809
1076,20190808
1077,20190807
1078,20190806
1079,20190805
1080,20190802
1081,20190801
1082,20190731
1083,20190730
1084,20190729
1085,20190726
1086,20190725
1087,20190724
1088,20190723
1089,20190722
1090,20190719
1091,20190718
1092,20190717
1093,20190716
1094,20190715
